latitude	longitude	depth	mag	location	id
-4.6203	152.5368	58.3	4.7	us	us200050t6
37.5740013	-118.8571701	5.24	2.9	nc	nc72592870
60.4187	-149.9172	33.7	3	ak	ak12845219
18.9006	-67.6792	12	2.9	pr	pr16048001
18.139	-67.4045	16	2.7	pr	pr16048000
-23.953	-66.6466	194.06	4.3	us	us200050r4
36.4829	-98.7339	9.35	3	us	us200050qh
40.3863333	-124.9503333	17.14	2.77	nc	nc72592755
-31.4449	-69.2902	113.78	4.2	us	us200050pr
59.8298	-152.8897	102.7	3.5	ak	ak12842050
-55.8277	-125.1581	10	5.1	us	us200050pj
37.2023333	-118.3998333	15.08	4.31	nc	nc72592705
37.2056656	-118.4039993	14.97	2.75	nc	nc72592695
37.2029991	-118.404335	14.82	2.89	nc	nc72592675
26.3655	93.4149	10	4.7	us	us200050p4
36.4914	-98.7609	11.33	2.9	us	us200050nu
37.2023	-118.4035	15.1	4.8	nc	nc72592670
36.7393	-97.5291	4.73	2.6	us	us200050ni
-15.6514	-72.9166	87.28	4.5	us	us200050nh
-10.1471	111.5315	44.43	4.5	us	us200050n4
-4.6406	152.6283	54.22	5	us	us200050mj
61.7376	-148.311	4.6	2.7	ak	ak12839161
-14.317	172.3839	614.15	4.5	us	us200050m6
-30.2238	-71.3306	49.67	4.5	us	us200050lr
-30.4432	-72.0521	18.17	4.2	us	us200050ks
-18.1025	-175.0637	246.63	4.8	us	us200050kq
-7.2494	106.9886	126.71	4.8	us	us200050kh
-25.865	-70.884	55.1	4.4	us	us200050kb
34.3003333	-116.8636667	3.32	2.61	ci	ci37524632
15.5705	-104.8367	56.75	4.8	us	us200050j5
61.0474	-152.3586	110.1	2.9	ak	ak12836356
59.6693	-153.3417	109.4	3.4	ak	ak12836333
-16.4854	-73.6362	10.37	5.4	us	us200050iw
34.3026667	-116.8633333	3.14	3.85	ci	ci37524376
19.4048333	-154.9571667	1.638	2.53	hv	hv61179026
